co_nr,communities,Latitude,Longitude
126.0,Abu Hail,25.28308000000004,55.33435000000003
711.0,Al Awir First,25.186050000000023,55.54108000000008
721.0,Al Awir Second,25.167920000000038,55.543310000000076
333.0,Al Bada,25.21861000000007,55.26406000000003
122.0,Al Baraha,25.282800000000066,55.31678000000005
373.0,Al Barsha First,25.11483000000004,55.19136000000003
376.0,Al Barsha Second,25.107230000000072,55.20485000000008
671.0,Al Barsha South First,25.08958000000007,55.23424000000006
672.0,Al Barsha South Second,25.077390000000037,55.24267000000003
673.0,Al Barsha South Third,25.062290000000075,55.23995000000008
375.0,Al Barsha Third,25.093420000000037,55.19044000000008
114.0,Al Buteen,25.269250000000056,55.29944000000006
113.0,Al Dhagaya,25.272170000000074,55.30157000000003
214.0,Al Garhoud,25.243370000000027,55.352670000000046
359.0,Al Guoz Fourth,25.269510000000025,55.30884000000003
313.0,"Al Hamriya, Dubai",25.25696000000005,55.30246000000005
131.0,Al Hamriya Port,25.29871000000003,55.33546000000007
322.0,Al Hudaiba,25.237130000000036,55.27707000000004
326.0,Al Jaddaf,25.220540000000028,55.34166000000005
323.0,Al Jafiliya,25.233420000000024,55.29001000000005
318.0,Al Karama,25.245290000000068,55.30364000000003
128.0,Al Khabisi,25.27177000000006,55.33762000000007
281.0,Al Khwaneej First,25.24282000000005,55.48440000000005
282.0,Al Khwaneej Second,25.22784000000007,55.522320000000036
324.0,Al Kifaf,25.238090000000057,55.29779000000008
134.0,Al Mamzar,25.300940000000026,55.34003000000007
363.0,Al Manara,25.145790000000034,55.209580000000074
317.0,Al Mankhool,25.245160000000055,55.29333000000008
347.0,Al Merkad,25.154760000000067,55.27988000000005
321.0,Al Mina,25.271660000000054,55.267580000000066
262.0,Al Mizhar First,25.242650000000026,55.44234000000006
263.0,Al Mizhar Second,25.252360000000067,55.45677000000006
124.0,Al Muraqqabat,25.26836000000003,55.32634000000007
117.0,Al Murar,25.278350000000046,55.308170000000075
252.0,Al Mushrif,25.27257000000003,55.37802000000005
123.0,Al Muteena,25.272280000000023,55.322910000000036
231.0,Al Nahda First,25.286600000000078,55.36345000000006
241.0,Al Nahda Second,25.292550000000062,55.37481000000008
319.0,"Al Nasr, Dubai",25.276040000000023,55.30995000000007
354.0,Al Quoz First,25.168520000000058,55.250650000000064
364.0,Al Quoz Industrial First,25.145250000000033,55.23015000000004
369.0,Al Quoz Industrial Fourth,25.122700000000066,55.22761000000003
365.0,Al Quoz Industrial Second,25.135920000000056,55.243130000000065
368.0,Al Quoz Industrial Third,25.13068000000004,55.23132000000004
355.0,Al Quoz Second,25.164780000000064,55.270800000000065
358.0,Al Quoz Third,25.160910000000058,55.23487000000006
232.0,Al Qusais First,25.28001000000006,55.36860000000007
248.0,Al Qusais Industrial Fifth,25.29170000000005,55.40556000000004
242.0,Al Qusais Industrial First,25.291760000000068,55.386610000000076
